heqm,,红萼苘麻,Abutilon megapotamicum,,Latin 61209
yzqm,,圆锥苘麻,Abutilon paniculatum,,Latin 61209
jlh,,金铃花,Abutilon pictum,,Latin 61209
hhqm,,红花苘麻,Abutilon roseum,,Latin 61209
hqm,,华苘麻,Abutilon sinense,,Latin 61209
wchqm,,无齿华苘麻,Abutilon sinense var. edentatum,,Latin 61209
qm,,苘麻,Abutilon theophrasti,,Latin 61209
jhhs,,金合欢属,Acacia,,Latin 61209
dyxs,,大叶相思,Acacia auriculiformis,,Latin 61209
jyxs,,尖叶相思,Acacia caesia,,Latin 61209
jyxs,,尖叶相思,Acacia caesia var. subnuda,,Latin 61209
ec,,儿茶,Acacia catechu,,Latin 61209
twxs,,台湾相思,Acacia confusa,,Latin 61209
yj,,银荆,Acacia dealbata,,Latin 61209
xyjhh,,线叶金合欢,Acacia decurrens,,Latin 61209
gyjhh,,光叶金合欢,Acacia delavayi,,Latin 61209
kmjhh,,昆明金合欢,Acacia delavayi var. kunmingensis,,Latin 61209
jhh,,金合欢,Acacia farnesiana,,Latin 61209
hjhh,,灰金合欢,Acacia glauca,,Latin 61209
mzxs,,马占相思,Acacia mangium,,Latin 61209
hj,,黑荆,Acacia mearnsii,,Latin 61209
dyjhh,,钝叶金合欢,Acacia megaladena,,Latin 61209
pxjhh,,盘腺金合欢,Acacia megaladena var. garrettii,,Latin 61209
albjhh,,阿拉伯金合欢,Acacia nilotica,,Latin 61209
yyjhh,,羽叶金合欢,Acacia pennata,,Latin 61209
zzhh,,珍珠合欢,Acacia podalyriifolia,,Latin 61209
fbjhh,,粉被金合欢,Acacia pruinescens,,Latin 61209
fbjhh,,粉被金合欢,Acacia pruinescens var. luchunensis,,Latin 61209
albjs,,阿拉伯胶树,Acacia senegal,,Latin 61209
tjhh,,藤金合欢,Acacia sinuata,,Latin 61209
wcjhh,,无刺金合欢,Acacia teniana,,Latin 61209
sxjhh,,双腺金合欢,Acacia tonkinensis,,Latin 61209
ynjhh,,越南金合欢,Acacia vietnamensis,,Latin 61209
ynxss,,云南相思树,Acacia yunnanensis,,Latin 61209
wms,,猬莓属,Acaena,,Latin 61209
txcs,,铁苋菜属,Acalypha,,Latin 61209
wytxc,,尾叶铁苋菜,Acalypha acmophylla,,Latin 61209
pdtxc,,屏东铁苋菜,Acalypha akoensis,,Latin 61209
twtxc,,台湾铁苋菜,Acalypha angatensis,,Latin 61209
txc,,铁苋菜,Acalypha australis,,Latin 61209
jwtxc,,尖尾铁苋菜,Acalypha caturus,,Latin 61209
hntxc,,海南铁苋菜,Acalypha hainanensis,,Latin 61209
hstxc,,红穗铁苋菜,Acalypha hispida,,Latin 61209
rdtxc,,热带铁苋菜,Acalypha indica,,Latin 61209
lytxc,,卵叶铁苋菜,Acalypha kerrii,,Latin 61209
mytxc,,麻叶铁苋菜,Acalypha lanceolata,,Latin 61209
mytxc,,毛叶铁苋菜,Acalypha mairei,,Latin 61209
hctxc,,恒春铁苋菜,Acalypha matsudai,,Latin 61209
hwtx,,红尾铁苋,Acalypha reptans,,Latin 61209
ljtxc,,丽江铁苋菜,Acalypha schneideriana,,Latin 61209
yxchz,,异形雌花组,Acalypha Sect. Boehmerioideae,,Latin 61209
dhxgz,,短花序梗组,Acalypha Sect. Brachypodae,,Latin 61209
qybz,,全缘苞组,Acalypha Sect. Caturoideae,,Latin 61209
zmz,,掌脉组,Acalypha Sect. Palminerviae,,Latin 61209
chxgz,,长花序梗组,Acalypha Sect. Paucibracteatae,,Latin 61209
bbz,,蚌苞组,Acalypha Sect. Repandae,,Latin 61209
lytxc,,菱叶铁苋菜,Acalypha siamensis,,Latin 61209
hltxc,,花莲铁苋菜,Acalypha suirenbiensis,,Latin 61209
lbtxc,,裂苞铁苋菜,Acalypha supera,,Latin 61209
hs,,红桑,Acalypha wilkesiana,,Latin 61209
jbhs,,金边红桑,Acalypha wilkesiana cv. Marginata,,Latin 61209
ybhs,,银边红桑,Acalypha wilkesiana cv. Mustrata,,Latin 61209
yctxc,,印禅铁苋菜,Acalypha wui,,Latin 61209
cls,,脆兰属,Acampe,,Latin 61209
zgcl,,窄果脆兰,Acampe ochracea,,Latin 61209
dxcl,,短序脆兰,Acampe papillosa,,Latin 61209
dhcl,,多花脆兰,Acampe rigida,,Latin 61209
zgjs,,直冠菊属,Acamptopappus,,Latin 61209
jck,,爵床科,Acanthaceae,,Latin 61209
thls,,坛花兰属,Acanthephippium,,Latin 61209
ylthl,,延龄坛花兰,Acanthephippium picium,,Latin 61209
zhthl,,中华坛花兰,Acanthephippium sinense,,Latin 61209
znthl,,锥囊坛花兰,Acanthephippium striatum,,Latin 61209
thl,,坛花兰,Acanthephippium sylhetense,,Latin 61209
jths,,棘头花属,Acanthocephalus,,Latin 61209
cezs,,刺萼柱属,Acanthocereus,,Latin 61209
mbcs,,芒苞草属,Acanthochlamys,,Latin 61209
mbc,,芒苞草,Acanthochlamys bracteata,,Latin 61209
czjs,,刺枝菊属,Acanthocladium,,Latin 61209
czj,,刺枝菊,Acanthocladium dockeri,,Latin 61209
cljs,,刺链菊属,Acanthodesmos,,Latin 61209
clj,,刺链菊,Acanthodesmos distichus,,Latin 61209
jbjs,,棘苞菊属,Acantholepis,,Latin 61209
jbj,,棘苞菊,Acantholepis orientalis,,Latin 61209
chs,,彩花属,Acantholimon,,Latin 61209
cych,,刺叶彩花,Acantholimon alatavicum,,Latin 61209
xych,,细叶彩花,Acantholimon borodinii,,Latin 61209
xych,,小叶彩花,Acantholimon diapensioides,,Latin 61209
ch,,彩花,Acantholimon hedinii,,Latin 61209
ksch,,喀什彩花,Acantholimon kaschgaricum,,Latin 61209
hhch,,浩罕彩花,Acantholimon kokandense,,Latin 61209
gech,,光萼彩花,Acantholimon laevigatum,,Latin 61209
ssch,,石松彩花,Acantholimon lycopodioides,,Latin 61209
wqch,,乌恰彩花,Acantholimon popovii,,Latin 61209
xjch,,新疆彩花,Acantholimon roborowskii,,Latin 61209
tsch,,天山彩花,Acantholimon tianschanicum,,Latin 61209
wjs,,五加属,Acanthopanax,,Latin 61209
wywj,,尾叶五加,Acanthopanax cuspidatus,,Latin 61209
lqwj,,两歧五加,Acanthopanax divaricatus,,Latin 61209
dylzwj,,单叶离柱五加,Acanthopanax eleutheristylus var. simplex,,Latin 61209
xmwzywj,,锈毛吴茱萸五加,Acanthopanax evodiaefolius var. ferrugineus,,Latin 61209
xgwzywj,,细梗吴茱萸五加,Acanthopanax evodiaefolius var. gracilis,,Latin 61209
xmwzywj,,,xmwzywj   Acanthopanax evodiifolius var. ferrugineus,,Latin 61209
xgwzywj,,,xgwzywj   Acanthopanax evodiifolius var. gracilis,,Latin 61209
mghmwj,,,mghmwj   Acanthopanax giraldii var. hispidus,,Latin 61209
myhmwj,,,myhmwj   Acanthopanax giraldii var. pilosulus,,Latin 61209
wj,,五加,Acanthopanax gracilistylus,,Latin 61209
dywj,,大叶五加,Acanthopanax gracilistylus var. major,,Latin 61209
cmwj,,Acanthopanax,gracilistylus var. nodiflorus,,Latin 61209
dmwj,,短毛五加,Acanthopanax gracilistylus var. pubescens,,Latin 61209
rmwj,,柔毛五加,Acanthopanax gracilistylus var. villosulus,,Latin 61209
kdwj,,康定无加,Acanthopanax lasiogyne var. ferrugineus,,Latin 61209
ymtwj,,,ymtwj   Acanthopanax leucorrhizus var. axillaritomentosus,,Latin 61209
dlywj,,,dlywj   Acanthopanax obovatus,,Latin 61209
cgcywj,,,cgcywj   Acanthopanax rehderianus var. longipedunculatus,,Latin 61209
txwjz,,头序五加组,Acanthopanax Sect. Cephalopanax,,Latin 61209
cwjz,,刺五加组,Acanthopanax Sect. Eleutherococcus,,Latin 61209
wzywjz,,吴茱萸五加组,Acanthopanax Sect. Evodiopanax,,Latin 61209
dzz,,短轴组,Acanthopanax Sect. Sciadophylloides,,Latin 61209
hjwjz,,花椒五加组,Acanthopanax Sect. Zanthoxylopanax,,Latin 61209
xgwgwj,,Acanthopanax,sessiliflorus var. parviceps,,Latin 61209
kyswj,,阔叶蜀五加,Acanthopanax setchuenensis var. latifoliatus,,Latin 61209
yzwj,,异株五加,Acanthopanax sieboldianus,,Latin 61209
gmwj,,刚毛五加,Acanthopanax simonii,,Latin 61209
cggmwj,,长梗刚毛五加,Acanthopanax simonii var. longipedicellatus,,Latin 61209
zhwj,,,zhwj   Acanthopanax sinensis,,Latin 61209
tbswj,,,tbswj   Acanthopanax stenophyllus,,Latin 61209
xytbswj,,狭叶太白山五加,Acanthopanax stenophyllus f. angustissimus,,Latin 61209
kytbswj,,阔叶太白山五加,Acanthopanax stenophyllus f. dilatatus,,Latin 61209
ynwj,,云南五加,Acanthopanax yui,,Latin 61209
cys,,刺叶属,Acanthophyllum,,Latin 61209
cy,,刺叶,Acanthophyllum pungens,,Latin 61209
cbgs,,刺苞果属,Acanthospermum,,Latin 61209
cbg,,刺苞果,Acanthospermum australe,,Latin 61209
csfls,,刺穗凤梨属,Acanthostachys,,Latin 61209
czjs,,刺柱菊属,Acanthostyles,,Latin 61209
czj,,刺柱菊,Acanthostyles buniifolius,,Latin 61209
lsls,,老鼠簕属,Acanthus,,Latin 61209
xhlsl,,小花老鼠簕,Acanthus ebracteatus,,Latin 61209
xmlsl,,厦门老鼠簕,Acanthus ebracteatus var. xiamenensis,,Latin 61209
lsl,,老鼠簕,Acanthus ilicifolius,,Latin 61209
xmlsl,,厦门老鼠簕,Acanthus illicrifolius var. xiamenensis,,Latin 61209
cblsl,,刺苞老鼠簕,Acanthus leucostachyus,,Latin 61209
qs,,槭属,Acer,,Latin 61209
zwflxb,,,zwflxb   Acer acuminatum,,Latin 61209
rjq,,锐角槭,Acer acutum,,Latin 61209
wlrjq,,五裂锐角槭,Acer acutum var. quinquefidum,,Latin 61209
ttrjq,,天童锐角槭,Acer acutum var. tientungense,,Latin 61209
zbf,,紫白枫,Acer albopurpurascens,,Latin 61209
zbq,,紫白槭,Acer albo-purpurascens,,Latin 61209
kyq,,阔叶槭,Acer amplum,,Latin 61209
jskyf,,建水阔叶枫,Acer amplum subsp. bodinieri,,Latin 61209
zyq,,梓叶槭,Acer amplum subsp. catalpifolium,,Latin 61209
ttkyf,,天台阔叶枫,Acer amplum subsp. tientaiense,,Latin 61209
tgkyq,,凸果阔叶槭,Acer amplum var. convexum,,Latin 61209
jskyq,,建水阔叶槭,Acer amplum var. jianshuiense,,Latin 61209
ttkyq,,天台阔叶槭,Acer amplum var. tientaiense,,Latin 61209
ahq,,安徽槭,Acer anhweiense,,Latin 61209
dcahq,,短翅安徽槭,Acer anhweiense var. brachypterum,,Latin 61209
zmq,,髭脉槭,Acer barbinerve,,Latin 61209
lsq,,两色槭,Acer bicolor,,Latin 61209
cclsq,,粗齿两色槭,Acer bicolor var. serratifolium,,Latin 61209
yclsq,,圆齿两色槭,Acer bicolor var. serrulatum,,Latin 61209
sjq,,三角槭,Acer buergerianum,,Latin 61209
twsjq,,台湾三角槭,Acer buergerianum var. formosanum,,Latin 61209
pcsjq,,平翅三角槭,Acer buergerianum var. horizontale,,Latin 61209
djsjf,,大江三角枫,Acer buergerianum var. jiujiangense,,Latin 61209
jssjq,,界山三角槭,Acer buergerianum var. kaiscianense,,Latin 61209
nbsjq,,宁波三角槭,Acer buergerianum var. ningpoense,,Latin 61209
ydsjq,,雁荡三角槭,Acer buergerianum var. yentangense,,Latin 61209
shq,,深灰槭,Acer caesium,,Latin 61209
tbshq,,太白深灰槭,Acer caesium subsp. giraldii,,Latin 61209
znq,,藏南槭,Acer campbellii,,Latin 61209
mcznf,,毛齿藏南枫,Acer campbellii var. serratifolium,,Latin 61209
tyq,,田野槭,Acer campestre,,Latin 61209
qpq,,青皮槭,Acer cappadocicum,,Latin 61209
xyqpf,,小叶青皮枫,Acer cappadocicum subsp. sinicum,,Latin 61209
dcqpq,,短翅青皮槭,Acer cappadocicum var. brevialatum,,Latin 61209
xyqpq,,小叶青皮槭,Acer cappadocicum var. sinicum,,Latin 61209
swqpq,,三尾青皮槭,Acer cappadocicum var. tricaudatum,,Latin 61209
xazyq,,兴安梓叶槭,Acer catalpifolium subsp. xinganense,,Latin 61209
jwq,,尖尾槭,Acer caudatifolium,,Latin 61209
cwq,,长尾槭,Acer caudatum,,Latin 61209
dccwq,,多齿长尾槭,Acer caudatum var. multiserratum,,Latin 61209
cdcwq,,川滇长尾槭,Acer caudatum var. prattii,,Latin 61209
lzq,,蜡枝槭,Acer ceriferum,,Latin 61209
chq,,昌化槭,Acer changhuaense,,Latin 61209
njq,,怒江槭,Acer chienii,,Latin 61209
qgq,,黔桂槭,Acer chingii,,Latin 61209
ryq,,乳源槭,Acer chunii,,Latin 61209
lxyryq,,两型叶乳源槭,Acer chunii subsp. dimorphophyllum,,Latin 61209
myq,,密叶槭,Acer confertifolium,,Latin 61209
xcmyq,,细齿密叶槭,Acer confertifolium var. serrulatum,,Latin 61209
zgq,,紫果槭,Acer cordatum,,Latin 61209
lxyzgf,,两型叶紫果枫,Acer cordatum var. dimorphifolium,,Latin 61209
xzgq,,小紫果槭,Acer cordatum var. microcordatum,,Latin 61209
cbzgq,,长柄紫果槭,Acer cordatum var. subtrinervium,,Latin 61209
zyq,,樟叶槭,Acer coriaceifolia,,Latin 61209
gyq,,革叶槭,Acer coriaceifolium,,Latin 61209
xggyq,,小果革叶槭,Acer coriaceifolium var. microcarpum,,Latin 61209
hyq,,厚叶槭,Acer crassum,,Latin 61209
qzq,,青榨槭,Acer davidii,,Latin 61209
glq,,葛萝槭,Acer davidii subsp. grosseri,,Latin 61209
ysq,,异色槭,Acer discolor,,Latin 61209
zcf,,重齿枫,Acer duplicatoserratum,,Latin 61209
zcq,,重齿槭,Acer duplicato-serratum,,Latin 61209
zhzcf,,中华重齿枫,Acer duplicatoserratum var. chinense,,Latin 61209
xlq,,秀丽槭,Acer elegantulum,,Latin 61209
cwxlq,,长尾秀丽槭,Acer elegantulum var. macrurum,,Latin 61209
mhq,,毛花槭,Acer erianthum,,Latin 61209
azq,,桉状槭,Acer eucalyptoides,,Latin 61209
lfq,,罗浮槭,Acer fabri,,Latin 61209
tslfq,,特瘦罗浮槭,Acer fabri var. gracillimum,,Latin 61209
dglfq,,大果罗浮槭,Acer fabri var. megalocarpum,,Latin 61209
hglfq,,红果罗浮槭,Acer fabri var. rubrocarpum,,Latin 61209
mglfq,,毛梗罗浮槭,Acer fabri var. virescens,,Latin 61209
hkq,,河口槭,Acer fenzelianum,,Latin 61209
wtq,,梧桐槭,Acer firmianioides,,Latin 61209
syq,,扇叶槭,Acer flabellatum,,Latin 61209
ynsyq,,云南扇叶槭,Acer flabellatum var. yunnanense,,Latin 61209
ljq,,丽江槭,Acer forrestii,,Latin 61209
dgfxq,,大果房县槭,Acer franchetii var. megalocarpum,,Latin 61209
hmq,,黄毛槭,Acer fulvescens,,Latin 61209
dbhmq,,丹巴黄毛槭,Acer fulvescens subsp. danbaense,,Latin 61209
sghmq,,陕甘黄毛槭,Acer fulvescens subsp. fupingense,,Latin 61209
hmhmq,,褐脉黄毛槭,Acer fulvescens subsp. fuscescens,,Latin 61209
wlhmq,,,wlhmq   Acer fulvescens subsp. pentalobum,,Latin 61209
ctq,,茶条槭,Acer ginnala,,Latin 61209
kcq,,苦茶槭,Acer ginnala subsp. theiferum,,Latin 61209
cyf,,长叶枫,Acer gracilifolium,,Latin 61209
xpq,,血皮槭,Acer griseum,,Latin 61209
clglq,,长裂葛萝槭,Acer grosseri var. hersii,,Latin 61209
hnq,,海南槭,Acer hainanense,,Latin 61209
jsq,,建始槭,Acer henryi,,Latin 61209
qlq,,七裂槭,Acer heptalobum,,Latin 61209
hlq,,海拉槭,Acer hilaense,,Latin 61209
rcq,,锐齿槭,Acer hookeri,,Latin 61209
yyrcq,,圆叶锐齿槭,Acer hookeri var. orbiculare,,Latin 61209
mhq,,勐海槭,Acer huianum,,Latin 61209
hmq,,灰毛槭,Acer hypoleucum,,Latin 61209
ysq,,羽扇槭,Acer japonicum,,Latin 61209
wsq,,午扇槭,Acer japonicum cv. Heyhachii,,Latin 61209
jxq,,江西槭,Acer kiangsiense,,Latin 61209
qjq,,俅江槭,Acer kiukiangense,,Latin 61209
gsq,,贡山槭,Acer kungshanense,,Latin 61209
jlgsq,,尖裂贡山槭,Acer kungshanense var. acuminatilobum,,Latin 61209
mgq,,密果槭,Acer kuomeii,,Latin 61209
gnq,,广南槭,Acer kwangnanense,,Latin 61209
glq,,桂林槭,Acer kweilinense,,Latin 61209
gyq,,光叶槭,Acer laevigatum,,Latin 61209
njgyq,,怒江光叶槭,Acer laevigatum var. salweenense,,Latin 61209
jlq,,将乐槭,Acer laikuanii,,Latin 61209
lsq,,来苏槭,Acer laisuense,,Latin 61209
jyq,,剑叶槭,Acer lanceolatum,,Latin 61209
lpq,,兰坪槭,Acer lanpingense,,Latin 61209
srq,,十蕊槭,Acer laurinum,,Latin 61209
shq,,疏花槭,Acer laxiflorum,,Latin 61209
cyshq,,长叶疏花槭,Acer laxiflorum var. dolichophyllum,,Latin 61209
tgq,,秃梗槭,Acer leiopodum,,Latin 61209
lbq,,雷波槭,Acer leipoense,,Latin 61209
bmlbq,,白毛雷波槭,Acer leipoense subsp. leucotrichum,,Latin 61209
xyq,,细叶槭,Acer leptophyllum,,Latin 61209
laq,,临安槭,Acer linganense,,Latin 61209
fzq,,福州槭,Acer lingii,,Latin 61209
cyq,,长叶槭,Acer litseaefolium,,Latin 61209
ccq,,长翅槭,Acer longicarpum,,Latin 61209
cbq,,长柄槭,Acer longipes,,Latin 61209
cbcbq,,城步长柄槭,Acer longipes var. chengbuense,,Latin 61209
nccbq,,南川长柄槭,Acer longipes var. nanchuanense,,Latin 61209
jmcbq,,卷毛长柄槭,Acer longipes var. pubigerum,,Latin 61209
wxcbq,,维西长柄槭,Acer longipes var. weixiense,,Latin 61209
lyq,,亮叶槭,Acer lucidum,,Latin 61209
lsq,,龙胜槭,Acer lungshengense,,Latin 61209
nyq,,楠叶槭,Acer machilifolium,,Latin 61209
dbq,,东北槭,Acer mandshuricum,,Latin 61209
gsq,,甘肃槭,Acer mandshuricum subsp. kansuense,,Latin 61209
mbq,,马边槭,Acer mapienense,,Latin 61209
mgq,,毛果槭,Acer maximowiczianum,,Latin 61209
wjq,,五尖槭,Acer maximowiczii,,Latin 61209
zywjq,,紫叶五尖槭,Acer maximowiczii subsp. porphyrophyllum,,Latin 61209
dcq,,大齿槭,Acer megalodum,,Latin 61209
nlq,,南岭槭,Acer metcalfii,,Latin 61209
msq,,苗山槭,Acer miaoshanicum,,Latin 61209
mtq,,庙台槭,Acer miaotaiense,,Latin 61209
smq,,色木槭,Acer mono,,Latin 61209
wcsmq,,弯翅色木槭,Acer mono var. incurvatum,,Latin 61209
mssmq,,岷山色木槭,Acer mono var. minshanicum,,Latin 61209
sjsmq,,,sjsmq   Acer mono var. tricuspis,,Latin 61209
ysf,,玉山枫,Acer morrisonense,,Latin 61209
nyq,,纳雍槭,Acer nayongense,,Latin 61209
hnq,,湖南槭,Acer nayongense var. hunanense,,Latin 61209
cyq,,梣叶槭,Acer negundo,,Latin 61209
feq,,飞蛾槭,Acer oblongum,,Latin 61209
lyfeq,,绿叶飞蛾槭,Acer oblongum var. concolor,,Latin 61209
kcfeq,,宽翅飞蛾槭,Acer oblongum var. latialatum,,Latin 61209
emfeq,,峨眉飞蛾槭,Acer oblongum var. omeiense,,Latin 61209
hyfeq,,厚叶飞蛾槭,Acer oblongum var. pachyphyllum,,Latin 61209
slfeq,,三裂飞蛾槭,Acer oblongum var. trilobum,,Latin 61209
sgq,,少果槭,Acer oligocarpum,,Latin 61209
glq,,橄榄槭,Acer olivaceum,,Latin 61209
wlq,,五裂槭,Acer oliverianum,,Latin 61209
twwlq,,台湾五裂槭,Acer oliverianum subsp. formosanum,,Latin 61209
fnq,,富宁槭,Acer paihengii,,Latin 61209
jzq,,鸡爪槭,Acer palmatum,,Latin 61209
hq,,红槭,Acer palmatum f. atropurpureum,,Latin 61209
ymq,,羽毛槭,Acer palmatum var. dissectum,,Latin 61209
xjzq,,小鸡爪槭,Acer palmatum var. thunbergii,,Latin 61209
bsq,,巴山槭,Acer pashanicum,,Latin 61209
xhq,,稀花槭,Acer pauciflorum,,Latin 61209
jsq,,金沙槭,Acer paxii,,Latin 61209
byyjsq,,半圆叶金沙槭,Acer paxii var. semilunatum,,Latin 61209
bcq,,篦齿槭,Acer pectinatum,,Latin 61209
jwbcq,,尖尾篦齿槭,Acer pectinatum f. caudatilobum,,Latin 61209
dlq,,独龙槭,Acer pectinatum subsp. taronense,,Latin 61209
bbq,,北碚槭,Acer pehpeiense,,Latin 61209
wxyq,,五小叶槭,Acer pentaphyllum,,Latin 61209
dcsmq,,大翅色木槭,Acer pictum subsp. macropterum,,Latin 61209
wjf,,五角枫,Acer pictum subsp. mono,,Latin 61209
jnsmf,,江南色木枫,Acer pictum subsp. pubigerum,,Latin 61209
sjsmf,,三尖色木枫,Acer pictum subsp. tricuspis,,Latin 61209
smq,,疏毛槭,Acer pilosum,,Latin 61209
xlq,,细裂槭,Acer pilosum var. stenolobum,,Latin 61209
nyf,,楠叶枫,Acer pinnatinervium,,Latin 61209
hyq,,灰叶槭,Acer poliophyllum,,Latin 61209
dgq,,多果槭,Acer prolificum,,Latin 61209
zhq,,紫花槭,Acer pseudosieboldianum,,Latin 61209
zhq,,紫花槭,Acer pseudo-sieboldianum,,Latin 61209
xgzhq,,小果紫花槭,Acer pseudo-sieboldianum var. koreanum,,Latin 61209
mmq,,毛脉槭,Acer pubinerve,,Latin 61209
xgmmq,,细果毛脉槭,Acer pubinerve var. apiferum,,Latin 61209
gdmmq,,广东毛脉槭,Acer pubinerve var. kwangtungense,,Latin 61209
mjzq,,毛鸡爪槭,Acer pubipalmatum,,Latin 61209
mlmjzq,,美丽毛鸡爪槭,Acer pubipalmatum var. pulcherrimum,,Latin 61209
mbq,,毛柄槭,Acer pubipetiolatum,,Latin 61209
pbmbq,,屏边毛柄槭,Acer pubipetiolatum var. pingpienense,,Latin 61209
wmq,,网脉槭,Acer reticulatum,,Latin 61209
lxywmq,,两型叶网脉槭,Acer reticulatum var. dimorphifolium,,Latin 61209
cyq,,杈叶槭,Acer robustum,,Latin 61209
hncyq,,河南杈叶槭,Acer robustum var. honanense,,Latin 61209
